acteurs,box_office_url,duree,entrees,genre,realisateur,titre
"Ryan Gosling,Chris Evans,Ana de Armas",https://www.allocine.fr/film/fichefilm_gen_cfilm=189549.html,128,,"Action,Thriller","Joe Russo,Anthony Russo",The Gray Man
"Vincent Lindon,Agathe Rousselle,Garance Marillier",https://www.allocine.fr/film/fichefilm-277192/box-office/,108,,"Drame,Epouvante-horreur,Thriller",Julia Ducournau,Titane
"Nanni Moretti,Margherita Buy,Silvio Orlando",https://www.allocine.fr/film/fichefilm-304632/box-office/,95,,"Comédie,Comédie dramatique,Drame",Nanni Moretti,Vers un avenir radieux
"Rachel Zegler,Ariana DeBose",https://www.allocine.fr/film/fichefilm-227548/box-office/,Non valide,177526,,,West Side Story
"Ramzy Bedia,François-Xavier Demaison",https://www.allocine.fr/film/fichefilm-276716/box-office/,Non valide,102659,Comédie,,Hommes au bord de la crise de nerfs
"Garance Marillier,Emilie Dequenne,Alban Lenoir",https://www.allocine.fr/film/fichefilm-299647/box-office/,96,,Biopic,Virginie Verrier,Marinette
"Noma Dumezweni,Lilly Aspell",https://www.allocine.fr/film/fichefilm-256139/box-office/,Non valide,124439,"Action,Thriller",,Retribution
"Pascal Elbé,Mélanie Bernier",https://www.allocine.fr/film/fichefilm-291592/box-office/,Non valide,52377,Comédie,,Ma langue au chat
"Cate Blanchett,Toni Collette",https://www.allocine.fr/film/fichefilm-261339/box-office/,Non valide,142309,"Drame,Thriller",,Nightmare Alley
"Justine Lacroix,Joseph Rozé",https://www.allocine.fr/film/fichefilm-285266/box-office/,Non valide,12196,,,Normale
"Benjamin Bollen,Antoine Tomé",https://www.allocine.fr/film/fichefilm-273995/box-office/,Non valide,660421,,,Miraculous - le film
"Benoît Magimel,Gabriel Sara",https://www.allocine.fr/film/fichefilm-276768/box-office/,Non valide,90106,Drame,,De son vivant
"Ibrahima Diallo,Ilyes Djadel,Camille Chamoux",https://www.allocine.fr/film/fichefilm_gen_cfilm=305778.html,Non valide,,,David Diane,Numéro 10
"Gilles Lellouche,Pierre Niney,Emmanuelle Bercot",https://www.allocine.fr/film/fichefilm-281976/box-office/,122,,Thriller,Frédéric Tellier,Goliath
"Emilie Dequenne,Alban Lenoir",https://www.allocine.fr/film/fichefilm-299647/box-office/,Non valide,26273,Biopic,,Marinette
"Margherita Buy,Silvio Orlando",https://www.allocine.fr/film/fichefilm-304632/box-office/,Non valide,91786,,,Vers un avenir radieux
"Agathe Rousselle,Garance Marillier",https://www.allocine.fr/film/fichefilm-277192/box-office/,Non valide,88523,,,Titane
"Ariana Greenblatt,Chloe Coleman",https://www.allocine.fr/film/fichefilm-286208/box-office/,Non valide,187043,,Bryan Woods,65 - la Terre d'avant
"Joel Edgerton,Callum Turner,Peter Guinness",https://www.allocine.fr/film/fichefilm-200025/box-office/,123,,"Drame,Historique",George Clooney,Ils étaient un seul homme
"Alice Eve,Antonio Banderas,Shelley Hennig",https://www.allocine.fr/film/fichefilm_gen_cfilm=305845.html,105,,Thriller,Jon Keeyes,Cult Killer
"Leslie Odom Jr.,Ellen Burstyn,Ann Dowd",https://www.allocine.fr/film/fichefilm-289029/box-office/,112,,Epouvante-horreur,David Gordon Green,L'Exorciste - Dévotion
"Paula Beer,Jannis Niewöhner,Katja Riemann",https://www.allocine.fr/film/fichefilm-275394/box-office/,121,,"Drame,Guerre",Kilian Riedhof,"Stella, une vie allemande"
"George Clooney,Julia Roberts,Kaitlyn Dever",https://www.allocine.fr/film/fichefilm-290725/box-office/,104,,"Comédie,Romance",Ol Parker,Ticket To Paradise
"Nahuel Perez Biscayart,Céleste Brunnquell,Maud Wyler",https://www.allocine.fr/film/fichefilm-299454/box-office/,91,,"Comédie,Comédie dramatique,Drame",Erwan Le Duc,La Fille de son père
"Sara Mortensen,Camille Claris,Idir Chender",https://www.allocine.fr/film/fichefilm_gen_cfilm=312116.html,90,,Policier,Kamir Aïnouz,Meurtres à Bayeux
"Pierre Niney,Emmanuelle Bercot",https://www.allocine.fr/film/fichefilm-281976/box-office/,Non valide,267284,Thriller,,Goliath
"Nicholas Galitzine,Sofia Carson,Chosen Jacobs",https://www.allocine.fr/film/fichefilm_gen_cfilm=295206.html,122,,"Drame,Romance",Elizabeth Allen Rosenbaum,Nos cœurs meurtris
" Jarry,Didier Bourdon,Marie-Anne Chazel",https://www.allocine.fr/film/fichefilm_gen_cfilm=286648.html,90,,Drame,Gilles Paquet-Brenner,A tes côtés
" Artus,Elsa Zylberstein,Benjamin Tranié",https://www.allocine.fr/film/fichefilm-306157/box-office/,89,,Comédie,Olivier Van Hoofstadt,Veuillez nous excuser pour la gêne occasionnée
"Laure Calamy,Vincent Elbaz,Suzanne de Baecque",https://www.allocine.fr/film/fichefilm-307775/box-office/,98,,"Comédie,Comédie dramatique,Drame",Caroline Vignal,Iris et les hommes
"Vincent Macaigne,Aïssa Maïga,Evelyne Istria",https://www.allocine.fr/film/fichefilm-292521/box-office/,99,,Comédie dramatique,"Andréa Bescond,Eric Métayer",Quand tu seras grand
"Riadh Belaïche,Marwan Amesker,Loubna Abidar",https://www.allocine.fr/film/fichefilm-291293/box-office/,111,,"Comédie,Drame",Sébastien Tulard,À la belle étoile
"Lily Sullivan,Alyssa Sutherland,Morgan Davies",https://www.allocine.fr/film/fichefilm-277876/box-office/,97,,"Fantastique,Epouvante-horreur",Lee Cronin,Evil Dead Rise
"Céleste Brunnquell,Maud Wyler",https://www.allocine.fr/film/fichefilm-299454/box-office/,Non valide,31016,,,La Fille de son père
"Julia Roberts,Kaitlyn Dever",https://www.allocine.fr/film/fichefilm-290725/box-office/,Non valide,176153,"Comédie,Romance",,Ticket To Paradise
"Ellen Burstyn,Ann Dowd",https://www.allocine.fr/film/fichefilm-289029/box-office/,Non valide,264818,Epouvante-horreur,,L'Exorciste - Dévotion
"Jannis Niewöhner,Katja Riemann",https://www.allocine.fr/film/fichefilm-275394/box-office/,Non valide,19222,"Drame,Guerre",,"Stella, une vie allemande"
"Michèle Laroque,Mohamed Belkhir,Guillaume Duhesme",https://www.allocine.fr/film/fichefilm-293272/box-office/,101,,Comédie,Claude Zidi Jr.,Ténor
"Fedja Van Huet,Yorick Van Wageningen,Lies Visschedijk",https://www.allocine.fr/film/fichefilm_gen_cfilm=293599.html,130,,"Drame,Judiciaire",Sander Burger,The Judgement
"Ariane Ascaride,Alain Ughetto",https://www.allocine.fr/film/fichefilm-279640/box-office/,70,,"Animation,Famille",Alain Ughetto,Interdit aux chiens et aux Italiens
"Gil-woo Kang,Ye-eun Kim,Yong-nyeo Lee",https://www.allocine.fr/film/fichefilm-321007/box-office/,68,,"Aventure,Animation,Famille",Jaebeom Park,Krisha et le Maître de la forêt
"Anna Castillo,Oriol Pla,Quim Ávila",https://www.allocine.fr/film/fichefilm-290504/box-office/,106,,Drame,Jaime Rosales,Les Tournesols sauvages
"Emma Thompson,Daryl McCormack,Les Mabaleka",https://www.allocine.fr/film/fichefilm-287509/box-office/,97,,"Comédie,Romance",Sophie Hyde,Mes rendez-vous avec Leo
"Jean-Pascal Zadi,Caroline Anglade, Fary",https://www.allocine.fr/film/fichefilm-277532/box-office/,90,,Comédie,"Jean-Pascal Zadi,John Wax",Tout Simplement Noir
"Vincent Elbaz,Suzanne de Baecque",https://www.allocine.fr/film/fichefilm-307775/box-office/,Non valide,167511,,,Iris et les hommes
"Aïssa Maïga,Evelyne Istria",https://www.allocine.fr/film/fichefilm-292521/box-office/,Non valide,60109,Comédie dramatique,Eric Métayer,Quand tu seras grand
"Tom Holland, Zendaya,Benedict Cumberbatch",https://www.allocine.fr/film/fichefilm-256880/box-office/,148,,"Action,Aventure,Fantastique",Jon Watts,Spider-Man: No Way Home
"Clara Galle,Julio Peña (III),Hugo Arbues",https://www.allocine.fr/film/fichefilm_gen_cfilm=300943.html,105,,Romance,Marçal Forès,À travers ma fenêtre : les yeux dans les yeux
"Marwan Amesker,Loubna Abidar",https://www.allocine.fr/film/fichefilm-291293/box-office/,Non valide,67974,"Comédie,Drame",,À la belle étoile
"Alyssa Sutherland,Morgan Davies",https://www.allocine.fr/film/fichefilm-277876/box-office/,Non valide,235926,"Fantastique,Epouvante-horreur",,Evil Dead Rise
"Elsa Zylberstein,Benjamin Tranié",https://www.allocine.fr/film/fichefilm-306157/box-office/,Non valide,100308,Comédie,,Veuillez nous excuser pour la gêne occasionnée
"Ofelia Medina,Samantha Castillo,Arap Bethke",https://www.allocine.fr/film/fichefilm_gen_cfilm=302500.html,100,,Epouvante-horreur,Isaac Ezban,L'Oeil du mal
"Yolande Moreau,Sergi López,Grégory Gadebois",https://www.allocine.fr/film/fichefilm-288559/box-office/,103,,Comédie dramatique,Yolande Moreau,La Fiancée du poète
"Vincent Lindon,Sandrine Kiberlain,Anthony Bajon",https://www.allocine.fr/film/fichefilm-277730/box-office/,96,,Drame,Stéphane Brizé,Un autre monde
"Alice Isaaz,Niels Schneider,Rod Paradot",https://www.allocine.fr/film/fichefilm-295614/box-office/,95,,"Policier,Drame,Historique",Romain Quirot,Apaches
"Grégoire Ludig,David Marsais,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-274531/box-office/,77,,"Comédie,Fantastique",Quentin Dupieux,Mandibules
"Caroline Anglade, Fary",https://www.allocine.fr/film/fichefilm-277532/box-office/,Non valide,255537,Comédie,John Wax,Tout Simplement Noir
"Daryl McCormack,Les Mabaleka",https://www.allocine.fr/film/fichefilm-287509/box-office/,Non valide,23381,"Comédie,Romance",,Mes rendez-vous avec Leo
"Oriol Pla,Quim Ávila",https://www.allocine.fr/film/fichefilm-290504/box-office/,Non valide,12386,Drame,,Les Tournesols sauvages
Alain Ughetto,https://www.allocine.fr/film/fichefilm-279640/box-office/,Non valide,41957,"Animation,Famille",,Interdit aux chiens et aux Italiens
"Ye-eun Kim,Yong-nyeo Lee",https://www.allocine.fr/film/fichefilm-321007/box-office/,Non valide,370,,,Krisha et le Maître de la forêt
Valmyr Pavard,https://www.allocine.fr/film/fichefilm-324103/box-office/,40,,"Animation,Famille",Hélène Ducrocq,Roquette et les Mal-Aimés
"Jennifer Lopez,Lucy Paez,Omari Hardwick",https://www.allocine.fr/film/fichefilm_gen_cfilm=289997.html,115,,"Action,Thriller",Niki Caro,The Mother
"Gilles Lellouche,Mélanie Thierry",https://www.allocine.fr/film/fichefilm-293898/box-office/,111,,"Drame,Romance,Thriller",Thomas Bidegain,Soudain seuls
"Joel Kinnaman,Kid Cudi,Catalina Sandino Moreno",https://www.allocine.fr/film/fichefilm-297931/box-office/,104,,"Action,Thriller",John Woo,Silent Night
"Gerard Butler,Morena Baccarin,David Denman",https://www.allocine.fr/film/fichefilm-264720/box-office/,120,,"Action,Drame,Thriller",Ric Roman Waugh,Greenland - Le dernier refuge
"Didier Bourdon,Eric Fraticelli,Anne Consigny",https://www.allocine.fr/film/fichefilm-42303/box-office/,93,,Comédie,Eric Fraticelli,Permis de construire
"Zita Hanrot,Louise Chevillotte,Laure Giappiconi",https://www.allocine.fr/film/fichefilm-290508/box-office/,119,,Drame,Lucie Borleteau,À mon seul désir
" Zendaya,Benedict Cumberbatch",https://www.allocine.fr/film/fichefilm-256880/box-office/,Non valide,2867515,,,Spider-Man: No Way Home
"Phoebe Dynevor,Alden Ehrenreich,Eddie Marsan",https://www.allocine.fr/film/fichefilm_gen_cfilm=299073.html,113,,Thriller,Chloe Domont,Fair Play
"Isabelle Huppert,Grégory Gadebois,Yvan Attal",https://www.allocine.fr/film/fichefilm-288269/box-office/,121,,"Drame,Thriller",Jean-Paul Salomé,La Syndicaliste
"Gal Gadot,Jamie Dornan,Matthias Schweighöfer",https://www.allocine.fr/film/fichefilm_gen_cfilm=288661.html,122,,"Action,Espionnage,Thriller",Tom Harper (III),Agent Stone
"Chris Pratt,Bryce Dallas Howard,Laura Dern",https://www.allocine.fr/film/fichefilm-242492/box-office/,146,,"Action,Aventure,Science Fiction",Colin Trevorrow,Jurassic World: Le Monde d'après
"Magdalena Korpas,Pinuccio Derosas,Emma Deiana",https://www.allocine.fr/film/fichefilm-325414/box-office/,77,,Drame,Michele Salimbeni,The Mercy Tree - Drzewo Miłosierdzia -
"David Marsais,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-274531/box-office/,Non valide,50543,"Comédie,Fantastique",,Mandibules
"Niels Schneider,Rod Paradot",https://www.allocine.fr/film/fichefilm-295614/box-office/,Non valide,33659,,,Apaches
"Sandrine Kiberlain,Anthony Bajon",https://www.allocine.fr/film/fichefilm-277730/box-office/,Non valide,195408,Drame,,Un autre monde
"Emilie Lan Dürr,Florence Miailhe,Maxime Gémin",https://www.allocine.fr/film/fichefilm-257861/box-office/,84,,"Animation,Drame",Florence Miailhe,La Traversée
"Sergi López,Grégory Gadebois",https://www.allocine.fr/film/fichefilm-288559/box-office/,Non valide,62842,Comédie dramatique,,La Fiancée du poète
"Stef Aerts,Matteo Simoni,Gene Bervoets",https://www.allocine.fr/film/fichefilm_gen_cfilm=304462.html,110,,"Drame,Historique,Guerre",Tim Mielants,Wil
"Soubin Shahir,Chandu Salimkumar,Sreenath Bhasi",https://www.allocine.fr/film/fichefilm-326521/box-office/,135,,"Aventure,Drame", Chidambaram,Manjummel Boys
"Mohamed Belkhir,Guillaume Duhesme",https://www.allocine.fr/film/fichefilm-293272/box-office/,Non valide,126348,Comédie,,Ténor
"Emilie Rault,Kelly Marie Tran,Géraldine Nakache",https://www.allocine.fr/film/fichefilm-265028/box-office/,107,,"Aventure,Animation,Fantastique","Paul Briggs,Don Hall,John Ripa",Raya et le dernier dragon
"Bob Odenkirk,Aleksey Serebryakov,Connie Nielsen",https://www.allocine.fr/film/fichefilm-261793/box-office/,92,,Action,Ilya Naishuller,Nobody
"Louise Chevillotte,Laure Giappiconi",https://www.allocine.fr/film/fichefilm-290508/box-office/,Non valide,9758,Drame,,À mon seul désir
"Kid Cudi,Catalina Sandino Moreno",https://www.allocine.fr/film/fichefilm-297931/box-office/,Non valide,,"Action,Thriller",,Silent Night
"Grégory Gadebois,Yvan Attal",https://www.allocine.fr/film/fichefilm-288269/box-office/,Non valide,192422,"Drame,Thriller",,La Syndicaliste
"Bryce Dallas Howard,Laura Dern",https://www.allocine.fr/film/fichefilm-242492/box-office/,Non valide,1299065,,,Jurassic World: Le Monde d'après
"Morena Baccarin,David Denman",https://www.allocine.fr/film/fichefilm-264720/box-office/,Non valide,193402,,,Greenland - Le dernier refuge
"Eric Fraticelli,Anne Consigny",https://www.allocine.fr/film/fichefilm-42303/box-office/,Non valide,211995,Comédie,,Permis de construire
Mélanie Thierry,https://www.allocine.fr/film/fichefilm-293898/box-office/,Non valide,116736,,,Soudain seuls
,https://www.allocine.fr/film/fichefilm-324103/box-office/,Non valide,163,"Animation,Famille",,Roquette et les Mal-Aimés
"Ahmed Sylla,Mallory Wanecque,Julia Piaton",https://www.allocine.fr/film/fichefilm-309050/box-office/,90,,Comédie dramatique,Ali Marhyar,Comme un prince
"Timothée Chalamet,Léa Seydoux,Bill Murray",https://www.allocine.fr/film/fichefilm-269684/box-office/,108,,"Comédie,Drame,Romance",Wes Anderson,The French Dispatch
"Rosalie Thomass,Friedrich Mücke,Thomas Loibl",https://www.allocine.fr/film/fichefilm_gen_cfilm=289762.html,90,,Thriller,Emily Atef,Jackpot
"Daniel Craig,Léa Seydoux,Rami Malek",https://www.allocine.fr/film/fichefilm-212358/box-office/,163,,"Action,Espionnage,Thriller",Cary Joji Fukunaga,Mourir peut attendre
"Franz Rogowski,Ben Whishaw,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-297406/box-office/,92,,"Drame,Romance",Ira Sachs,Passages
"Florence Miailhe,Maxime Gémin",https://www.allocine.fr/film/fichefilm-257861/box-office/,Non valide,5764,"Animation,Drame",,La Traversée
"Kelly Marie Tran,Géraldine Nakache",https://www.allocine.fr/film/fichefilm-265028/box-office/,Non valide,,,"Don Hall,John Ripa",Raya et le dernier dragon
"Chandu Salimkumar,Sreenath Bhasi",https://www.allocine.fr/film/fichefilm-326521/box-office/,Non valide,271,"Aventure,Drame",,Manjummel Boys
"Henriette Confurius,Noah Saavedra,August Zirner",https://www.allocine.fr/film/fichefilm_gen_cfilm=274593.html,95,,"Policier,Thriller",Saralisa Volm,La Forêt silencieuse
"Karin Viard,Bruno Podalydès,Sabine Azéma",https://www.allocine.fr/film/fichefilm-311433/box-office/,90,,Comédie,Bruno Podalydès,Wahou !
"Nathalie Issa,Manal Issa,Matthias Schweighöfer",https://www.allocine.fr/film/fichefilm_gen_cfilm=292214.html,134,,Drame,Sally El Hosaini,Les Nageuses
"Pinuccio Derosas,Emma Deiana",https://www.allocine.fr/film/fichefilm-325414/box-office/,Non valide,58,Drame,,The Mercy Tree - Drzewo Miłosierdzia -
"Vincent Grahl,Sofia Kappel,Joel Lützow",https://www.allocine.fr/film/fichefilm_gen_cfilm=318015.html,100,,Epouvante-horreur,Johannes Persson,Feed
"Reda Kateb,Benoît Magimel,Meriem Amiar",https://www.allocine.fr/film/fichefilm-302418/box-office/,92,,Drame,Elias Belkeddar,Omar la fraise
"Christian Bale,Margot Robbie,John David Washington",https://www.allocine.fr/film/fichefilm-281087/box-office/,134,,"Policier,Drame,Thriller",David O. Russell,Amsterdam
"Harrison Ford,Omar Sy,Dan Stevens",https://www.allocine.fr/film/fichefilm-259759/box-office/,100,,"Aventure,Drame,Famille",Chris Sanders,L'Appel de la forêt
"Youri Lauriette,Marvin Rénac, Méthi’s",https://www.allocine.fr/film/fichefilm_gen_cfilm=323659.html,110,,Fantastique,Daniel Kichenassamy,Nonm
"Adam Sandler,Bill Burr,Cecily Strong",https://www.allocine.fr/film/fichefilm_gen_cfilm=247762.html,102,,"Aventure,Animation,Comédie","Robert Marianetti,Robert Smigel,David Wachtenheim",Leo
"Bruno Podalydès,Sabine Azéma",https://www.allocine.fr/film/fichefilm-311433/box-office/,Non valide,95610,Comédie,,Wahou !
"Sydney Sweeney,Justice Smith,Ben Hardy",https://www.allocine.fr/film/fichefilm_gen_cfilm=278756.html,116,,Thriller,Michael Mohan,Voyeurs
"Scott Adkins,Honor Kneafsey,Yuliia Sobol",https://www.allocine.fr/film/fichefilm_gen_cfilm=283244.html,101,,"Action,Thriller",Adrian Bol,Jeux d’espions
"Christian Bale,Harry Melling,Gillian Anderson",https://www.allocine.fr/film/fichefilm_gen_cfilm=290724.html,130,,"Policier,Historique,Thriller",Scott Cooper,The Pale Blue Eye
"Patrick Dempsey,Addison Rae,Milo Manheim",https://www.allocine.fr/film/fichefilm-145729/box-office/,107,,Epouvante-horreur,Eli Roth,Thanksgiving : la semaine de l'horreur
"Ben Whishaw,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-297406/box-office/,Non valide,11227,"Drame,Romance",,Passages
"Dennis Quaid,Colin Ford,Joelle Carter",https://www.allocine.fr/film/fichefilm-295449/box-office/,126,,"Biopic,Drame",Jeff Celentano,The Hill
"Aloïs Le Labourier Tiêu,Jacob Tremblay,Matt Mouredon",https://www.allocine.fr/film/fichefilm_gen_cfilm=285584.html,96,,"Animation,Famille",Enrico Casarosa,Luca
"Benoît Magimel,Meriem Amiar",https://www.allocine.fr/film/fichefilm-302418/box-office/,Non valide,140144,Drame,,Omar la fraise
"Taylor Zakhar Perez,Nicholas Galitzine,Rachel Hilson",https://www.allocine.fr/film/fichefilm_gen_cfilm=296912.html,118,,"Comédie,Romance",Matthew Lopez,My dear f***ing prince
"Margot Robbie,John David Washington",https://www.allocine.fr/film/fichefilm-281087/box-office/,Non valide,24277,,,Amsterdam
"Léa Seydoux,Rami Malek",https://www.allocine.fr/film/fichefilm-212358/box-office/,Non valide,1384858,,,Mourir peut attendre
"Bárbara Lennie,Eduard Fernández,Loreto Mauleón",https://www.allocine.fr/film/fichefilm_gen_cfilm=286631.html,155,,"Drame,Thriller",Oriol Paulo,Les Lignes courbes de Dieu
"Chutimon Chuengcharoensukying,Kenneth Won,Nopachai Chaiyanam",https://www.allocine.fr/film/fichefilm_gen_cfilm=312867.html,146,,"Drame,Thriller",Sitisiri Mongkolsiri,Hunger
"Anaïs Demoustier,Vincent Lacoste,Paul Beaurepaire",https://www.allocine.fr/film/fichefilm-280197/box-office/,125,,"Drame,Romance",Katell Quillévéré,Le Temps D’Aimer
"Omar Sy,Dan Stevens",https://www.allocine.fr/film/fichefilm-259759/box-office/,Non valide,522494,,,L'Appel de la forêt
"Naomi Krauss,Goran Bogdan,Adnan Maral",https://www.allocine.fr/film/fichefilm_gen_cfilm=300762.html,109,,"Comédie,Drame",Vanessa Jopp,Loin d'ici
"Addison Rae,Milo Manheim",https://www.allocine.fr/film/fichefilm-145729/box-office/,Non valide,75871,Epouvante-horreur,,Thanksgiving : la semaine de l'horreur
"Colin Ford,Joelle Carter",https://www.allocine.fr/film/fichefilm-295449/box-office/,Non valide,,"Biopic,Drame",,The Hill
"Léa Seydoux,Bill Murray",https://www.allocine.fr/film/fichefilm-269684/box-office/,Non valide,197450,,,The French Dispatch
"Aleksey Serebryakov,Connie Nielsen",https://www.allocine.fr/film/fichefilm-261793/box-office/,Non valide,80440,Action,,Nobody
"Philippe Tlokinski,Esther Garrel,Sam Keeley",https://www.allocine.fr/film/fichefilm-263100/box-office/,103,,Divers,Thorsten Klein,Les Aventures d'un mathématicien
"Mallory Wanecque,Julia Piaton",https://www.allocine.fr/film/fichefilm-309050/box-office/,Non valide,119238,Comédie dramatique,,Comme un prince
"Ben Affleck,Ana de Armas,Tracy Letts",https://www.allocine.fr/film/fichefilm_gen_cfilm=276098.html,115,,"Erotique,Thriller",Adrian Lyne,Eaux profondes
"Simu Liu,Tony Leung Chiu-Wai, Awkwafina",https://www.allocine.fr/film/fichefilm-270144/box-office/,132,,"Action,Fantastique",Destin Daniel Cretton,Shang-Chi et la Légende des Dix Anneaux
"Callum Turner,Peter Guinness",https://www.allocine.fr/film/fichefilm-200025/box-office/,Non valide,,"Drame,Historique",,Ils étaient un seul homme
"Mara Taquin,Maud Wyler",https://www.allocine.fr/film/fichefilm-300273/box-office/,Non valide,206646,Drame,,La Petite
"Laura Linney,Kathy Bates",https://www.allocine.fr/film/fichefilm-284771/box-office/,Non valide,11515,"Comédie,Drame",,Le Club des miracles
"Damien Bonnard,Gabriel Merz Chammah",https://www.allocine.fr/film/fichefilm-277190/box-office/,Non valide,53677,Drame,,Les Intranquilles
"Rosalie Chiang,Sandra Oh,Ava Morse",https://www.allocine.fr/film/fichefilm_gen_cfilm=263058.html,100,,"Animation,Comédie,Famille",Domee Shi,Alerte rouge
"Michael B. Jordan,Jamie Foxx,Brie Larson",https://www.allocine.fr/film/fichefilm-239735/box-office/,137,,"Biopic,Drame",Destin Daniel Cretton,La Voie de la justice
"Edward Norton,Janelle Monáe",https://www.allocine.fr/film/fichefilm-280185/box-office/,Non valide,,"Comédie,Policier",,Glass Onion : une histoire à couteaux tirés
"Vincent Lacoste,Paul Beaurepaire",https://www.allocine.fr/film/fichefilm-280197/box-office/,Non valide,118783,"Drame,Romance",,Le Temps D’Aimer
"Olivier Marchal,Olivia Bonamy,Mathieu Madenian",https://www.allocine.fr/film/fichefilm-306883/box-office/,97,,Comédie,Philippe Guillard,Pour l’honneur
" Vitaa,Anna Kendrick,Matt Pokora",https://www.allocine.fr/film/fichefilm-274234/box-office/,92,,"Action,Aventure,Animation","Tim Heitz,Walt Dohrn",Les Trolls 3
"Florence Pernel,Lola Dewaere,Matthieu Burnel",https://www.allocine.fr/film/fichefilm_gen_cfilm=302292.html,90,,Policier,Nicolas Picard-Dreyfuss,Crime à Ramatuelle
"Kaley Cuoco,Connie Nielsen,David Oyelowo",https://www.allocine.fr/film/fichefilm_gen_cfilm=285282.html,101,,"Action,Thriller",Thomas Vincent,Role Play
"Benoît Magimel,Pahoa Mahagafanau,Marc Susini",https://www.allocine.fr/film/fichefilm-280669/box-office/,165,,"Drame,Espionnage",Albert Serra,Pacifiction - Tourment sur les îles
"Allison Williams,Violet McGraw,Ronny Chieng",https://www.allocine.fr/film/fichefilm-266320/box-office/,102,,"Epouvante-horreur,Thriller",Gerard Johnstone,M3GAN
"Anthony Ramos,Dominique Fishback,Luna Lauren Velez",https://www.allocine.fr/film/fichefilm-241065/box-office/,128,,"Action,Science Fiction",Steven Caple Jr.,Transformers: Rise Of The Beasts
"Esther Garrel,Sam Keeley",https://www.allocine.fr/film/fichefilm-263100/box-office/,Non valide,2047,Divers,,Les Aventures d'un mathématicien
"Charles Berling,Claire de La Rüe du Can,Pierre Perrier",https://www.allocine.fr/film/fichefilm_gen_cfilm=315416.html,92,,Drame,Philippe Lefebvre,L’Enchanteur
"Mélanie Laurent,Lou de Laâge,César Domboy",https://www.allocine.fr/film/fichefilm_gen_cfilm=280349.html,122,,"Drame,Historique",Mélanie Laurent,Le Bal Des Folles
"Tony Leung Chiu-Wai, Awkwafina",https://www.allocine.fr/film/fichefilm-270144/box-office/,Non valide,481173,"Action,Fantastique",,Shang-Chi et la Légende des Dix Anneaux
"Mark Rylance,Dylan O'Brien,Johnny Flynn",https://www.allocine.fr/film/fichefilm-290644/box-office/,106,,"Policier,Drame,Thriller",Graham Moore,The Outfit
"Malik Bentalha,Joséphine Japy,Jérôme Commandeur",https://www.allocine.fr/film/fichefilm-271293/box-office/,102,,"Aventure,Comédie","Malik Bentalha,Ludovic Colbeau-Justin",Jack Mimoun et les secrets de Val Verde
"Maxime Van Santfoort,Kai Wang",https://www.allocine.fr/film/fichefilm-309996/box-office/,128,,"Action,Aventure,Animation",Ji Zhao,La Guerre des Dieux - New Gods: Yang Jian
"Matt Damon,Viola Davis,Ben Affleck",https://www.allocine.fr/film/fichefilm-303794/box-office/,112,,Drame,Ben Affleck,Air
"Jamie Foxx,Brie Larson",https://www.allocine.fr/film/fichefilm-239735/box-office/,Non valide,113153,"Biopic,Drame",,La Voie de la justice
"Idris Elba,Cynthia Erivo,Andy Serkis",https://www.allocine.fr/film/fichefilm_gen_cfilm=292982.html,129,,"Policier,Drame,Judiciaire",Jamie Payne,Luther : Soleil déchu
"Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",https://www.allocine.fr/film/fichefilm-240935/box-office/,114,,"Action,Aventure,Science Fiction",Adam Wingard,Godzilla vs Kong
"Olivia Bonamy,Mathieu Madenian",https://www.allocine.fr/film/fichefilm-306883/box-office/,Non valide,91813,Comédie,,Pour l’honneur
"Karin Viard,François Berléand,Maxime Bergeron",https://www.allocine.fr/film/fichefilm-291709/box-office/,97,,"Policier,Drame",Virginie Sauveur,Magnificat
"Violet McGraw,Ronny Chieng",https://www.allocine.fr/film/fichefilm-266320/box-office/,Non valide,218120,"Epouvante-horreur,Thriller",,M3GAN
"William Lebghil,Laura Felpin",https://www.allocine.fr/film/fichefilm-296850/box-office/,Non valide,72930,Comédie,,Les Complices
"Virginie Efira,Albert Dupontel,Nicolas Marié",https://www.allocine.fr/film/fichefilm-274345/box-office/,87,,Comédie,Albert Dupontel,Adieu Les Cons
"Pahoa Mahagafanau,Marc Susini",https://www.allocine.fr/film/fichefilm-280669/box-office/,Non valide,19015,"Drame,Espionnage",,Pacifiction - Tourment sur les îles
"Anna Kendrick,Matt Pokora",https://www.allocine.fr/film/fichefilm-274234/box-office/,Non valide,419824,,Walt Dohrn,Les Trolls 3
"Mallory Wanecque,Timéo Mahaut,Johan Heldenbergh",https://www.allocine.fr/film/fichefilm-283585/box-office/,99,,Comédie dramatique,"Lise Akoka,Romane Gueret",Les Pires
"Dominique Fishback,Luna Lauren Velez",https://www.allocine.fr/film/fichefilm-241065/box-office/,Non valide,451052,"Action,Science Fiction",,Transformers: Rise Of The Beasts
