acteurs,box_office_url,duree,entrees,genre,realisateur,titre
"Karin Viard,Jérôme Pouly",https://www.allocine.fr/film/fichefilm-305883/box-office/,Non valide,58679,"Drame,Romance",,Une nuit
"Anya Taylor-Joy,Nicholas Hoult",https://www.allocine.fr/film/fichefilm-271676/box-office/,Non valide,124279,Thriller,,Le Menu
"Rebecca Marder,Isabelle Huppert",https://www.allocine.fr/film/fichefilm-304685/box-office/,Non valide,427391,,,Mon Crime
"Zoe Saldana,Dave Bautista",https://www.allocine.fr/film/fichefilm-246641/box-office/,Non valide,1323124,,,Les Gardiens de la Galaxie 3
"Yûki Kaji,Takumi Kitamura",https://www.allocine.fr/film/fichefilm-311559/box-office/,Non valide,20761,,,Le Château Solitaire dans le Miroir
"Maria Bakalova,Rachel Sennott",https://www.allocine.fr/film/fichefilm-263192/box-office/,Non valide,,,,Bodies Bodies Bodies
"Muriel Robin,Hugo Questel",https://www.allocine.fr/film/fichefilm-287538/box-office/,Non valide,298308,Drame,,La Chambre des merveilles
"Sean Young,Emily Killian,Tammy Klein",https://www.allocine.fr/film/fichefilm_gen_cfilm=296961.html,86,,"Action,Aventure,Science Fiction","Glenn Campbell (II),Tammy Klein",Planet Dune
"Jeff Panacloc,Claude Perron,Vincent Deniard",https://www.allocine.fr/film/fichefilm-294092/box-office/,90,,Comédie,Pierre-François Martin-Laval,Jeff Panacloc - À la poursuite de Jean-Marc
,https://www.allocine.fr/film/fichefilm-318094/box-office/,45,,"Animation,Famille",François Narboux,L'Hiver d'Edmond et Lucy
"Virginie Efira,Benoît Magimel,Grégoire Colin",https://www.allocine.fr/film/fichefilm-290439/box-office/,105,,Drame,Alice Winocour,Revoir Paris
"Isabelle Adjani,François Cluzet",https://www.allocine.fr/film/fichefilm-289268/box-office/,Non valide,91498,,,Mascarade
"Emilie Dequenne,Max Boublil,Arthur Roose",https://www.allocine.fr/film/fichefilm-307852/box-office/,85,,"Comédie,Drame",Claire Vassé,Double foyer
"Guillaume Canet,Laetitia Dosch,Patience Munchenbach",https://www.allocine.fr/film/fichefilm-288263/box-office/,100,,"Drame,Fantastique",Just Philippot,Acide
"Paul Mescal,Frankie Corio,Celia Rowlson-Hall",https://www.allocine.fr/film/fichefilm-303803/box-office/,102,,Drame,Charlotte Wells,Aftersun
"Eric Bruneau,Benoît Gouin,Rose-Marie Perreault",https://www.allocine.fr/film/fichefilm_gen_cfilm=298063.html,105,,"Action,Thriller",Raymond St-Jean,Crépuscule pour un tueur
"Catherine Deneuve,Denis Podalydès,Michel Vuillermoz",https://www.allocine.fr/film/fichefilm-301061/box-office/,92,,Comédie,Léa Domenach,Bernadette
"Chris Pine,Michelle Rodriguez,Regé-Jean Page",https://www.allocine.fr/film/fichefilm-221359/box-office/,134,,"Aventure,Fantastique","Jonathan Goldstein (XII),John Francis Daley",Donjons & Dragons : L'Honneur des voleurs
"Lesley Manville,Isabelle Huppert,Lambert Wilson",https://www.allocine.fr/film/fichefilm-286972/box-office/,116,,"Comédie,Comédie dramatique,Drame",Anthony Fabian,Une robe pour Mrs. Harris
"Benoît Magimel,Grégoire Colin",https://www.allocine.fr/film/fichefilm-290439/box-office/,Non valide,142841,Drame,,Revoir Paris
"Charlbi Dean Kriek,Woody Harrelson",https://www.allocine.fr/film/fichefilm-256851/box-office/,Non valide,179786,"Comédie,Drame",,Sans filtre
,https://www.allocine.fr/film/fichefilm-318094/box-office/,Non valide,3555,"Animation,Famille",,L'Hiver d'Edmond et Lucy
